index,ingredients,output,changelog
204,"Cooked Garbanzo Beans (Garbanzo Beans, Water), Sriracha Sauce (Red Chili Pepper, Vinegar, Sugar, Garlic, Salt), Tahini Paste (Ground Sesame Seed), Expeller Pressed Canola Oil, Lemon Juice Concentrate, Granulated Garlic, Sea Salt, Cumin, White Pepper","cooked garbanzo bean (garbanzo bean, water), sriracha sauce (red chili pepper, vinegar, sugar, garlic, salt), tahini paste (ground sesame seed), expeller pressed canola oil, lemon juice concentrate, granulated garlic, sea salt, cumin, white pepper","- cooked garbanzo beans → cooked garbanzo bean (singular)
- garbanzo beans → garbanzo bean (singular)"
205,"Whole Grain Oats, Ground Flaxseeds, Chia Seeds, Quinoa, Amaranth","whole grain oat, ground flaxseed, chia seed, quinoa, amaranth","- whole grain oats → whole grain oat (singular)
- ground flaxseeds → ground flaxseed (singular)
- chia seeds → chia seed (singular)"
206,"Durum Wheat Semolina, Contains 2% Oe Less of the Following Ingredients For Color (Red Beet Powder & Silicon Dioxide, Turmeric, Dehydrated Spinach, Dehydrated Tomato)","durum wheat semolina, contain 2% oe less of the following ingredient for color (red beet powder & silicon dioxide, turmeric, dehydrated spinach, dehydrated tomato)",- contains 2% oe less of the following ingredients for color → contain 2% oe less of the following ingredient for color (singular)
207,"Filtered Water, Apple Juice Concentrate, Orange Juice Concentrate, Pineapple Juice Concentrate, White Grape Juice Concentrate, Peach Puree Concentrate, Mango Juice Concentrate, Citric Acid, Natural Flavors, and Ascorbic Acid (Vitamin C)","filtered water, apple juice concentrate, orange juice concentrate, pineapple juice concentrate, white grape juice concentrate, peach puree concentrate, mango juice concentrate, citric acid, natural flavor, and ascorbic acid (vitamin c)",- natural flavors → natural flavor (singular)
208,"Tomatoes, Water, Double Roasted Anaheim Peppers, Onions, Cilantro, Cider Vinegar, Jalapenos, Lime Juice, Sea Salt, Garlic, Cumin, Black Pepper","tomato, water, double roasted anaheim pepper, onion, cilantro, cider vinegar, jalapeno, lime juice, sea salt, garlic, cumin, black pepper","- tomatoes → tomato (singular)
- double roasted anaheim peppers → double roasted anaheim pepper (singular)
- onions → onion (singular)
- jalapenos → jalapeno (singular)"
209,Dried Figs with Potassium Sorbate Added as A Preservative,dried fig with potassium sorbate added as a preservative,- dried figs with potassium sorbate added as a preservative → dried fig with potassium sorbate added as a preservative (singular)
210,"Sugar, Water, Soy Sauce (Water, Soybeans, Wheat, Salt), Distilled Vinegar, Tomato Paste, Red Chili Pepper/Garlic Blend, Cornstarch, Garlic Powder, Autolyzed Yeast Extract, Ginger, Oyster Extract and Natural Flavor, Lemon Juice Concentrate, Xanthan Gum, Onion Powder, Citric Acid, Spice","sugar, water, soy sauce (water, soybean, wheat, salt), distilled vinegar, tomato paste, red chili pepper/garlic blend, corn starch, garlic powder, autolyzed yeast extract, ginger, oyster extract and natural flavor, lemon juice concentrate, xanthan gum, onion powder, citric acid, spice","- soybeans → soybean (singular)
- cornstarch → corn starch (95%)"
211,"Water, Dehydrated Coconut Milk (Coconut Milk, Sodium Caseinate [Milk]), Red Chili Puree, Onion, Garlic, Sugar, Canola Oil, Salt, Cornstarch, Spices, Ginger, Autolyzed Yeast Extract, Onion Powder, Egg Yolks, Citric Acid, Natural Flavors, Xanthan Gum","water, dehydrated coconut milk (coconut milk, sodium caseinate (milk)), red chili puree, onion, garlic, sugar, canola oil, salt, corn starch, spice, ginger, autolyzed yeast extract, onion powder, egg yolk, citric acid, natural flavor, xanthan gum","- cornstarch → corn starch (95%)
- spices → spice (singular)
- egg yolks → egg yolk (singular)
- natural flavors → natural flavor (singular)"
212,"Salt, Ancho Chiles, Lemon Peel, Lime Peel, Soybean Oil","salt, ancho chile, lemon peel, lime peel, soybean oil",- ancho chiles → ancho chile (singular)
213,"Organic Reduced Fat Milk, Filter Water, Organic Tomato Paste, Organic Cane Sweetener (Sugar), Organic Roasted Red Pepper Flavor (Organic Red Peppers, Sea Salt, Organic Butter), Organic Roasted Garlic, Organic Roasted Red Peppers, Sea Salt, Sodium Citrate, Organic Rice Flour, Organic Garlic Powder, Organic Onion Powder, Organic Spices","organic reduced fat milk, filtered water, organic tomato paste, organic cane sweetener (sugar), organic roasted red pepper flavor (organic red pepper, sea salt, organic butter), organic roasted garlic, organic roasted red pepper, sea salt, sodium citrate, organic rice flour, organic garlic powder, organic onion powder, organic spice","- filter water → filtered water (92%)
- organic red peppers → organic red pepper (singular)
- organic roasted red peppers → organic roasted red pepper (singular)
- organic spices → organic spice (singular)"
214,"Consist of Milk Chocolate {Sugar, Whole Milk, Cocoa Butter, Chocolate, Soy Lecithin (An Emulsifier), Vanillin (An Artificial Flavor)}, Pecans, Corn Syrup, Dairy Cream, Condensed Milk, Sugar, Invert Sugar, Palm Kernel Oil, Honey, Brown Sugar, Salt, Natural Flavors, and Soy Lecithin (An Emulsifier)","consist of milk chocolate (sugar, whole milk, cocoa butter, chocolate, soy lecithin (an emulsifier), vanillin (an artificial flavor)), pecan, corn syrup, dairy cream, condensed milk, sugar, invert sugar, palm kernel oil, honey, brown sugar, salt, natural flavor, and soy lecithin (an emulsifier)","- pecans → pecan (singular)
- natural flavors → natural flavor (singular)"
215,"Consist of Chocolate {Sugar, Chocolate, Chocolate Processed with Alkali, Cocoa Butter, Whole Milk, Milk Fat, Soy Lecithin (An Emulsifier), Vanillin (An Artificial Flavor)}, Corn Syrup, Sugar, Dairy Cream, Condensed Milk, Palm Kernel Oil, Brown Sugar, Sea Salt, Natural Flavors and Soy Lecithin (An Emulsifier)","consist of chocolate (sugar, chocolate, chocolate processed with alkali, cocoa butter, whole milk, milkfat, soy lecithin (an emulsifier), vanillin (an artificial flavor)), corn syrup, sugar, dairy cream, condensed milk, palm kernel oil, brown sugar, sea salt, natural flavor and soy lecithin (an emulsifier)","- milk fat → milkfat (93%)
- natural flavors and soy lecithin → natural flavor and soy lecithin (singular)"
216,Organic Evaporated Cane Juice. Organic Tapioca Starch,"organic evaporated cane juice, organic tapioca starch",
217,"White Wine Vinegar, Concentrated Grape Juice","white wine vinegar, concentrated grape juice",
218,Almonds,almond,- almonds → almond (singular)
219,"Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Soy Lecithin, Natural Vanilla Flavor, Cocoa Solids 33% Min, Milk Solids 18% Min","sugar, cocoa butter, whole milk powder, cocoa mass, soy lecithin, natural vanilla flavor, cocoa solid 33% min, milk solid 18% min","- cocoa solids 33% min → cocoa solid 33% min (singular)
- milk solids 18% min → milk solid 18% min (singular)"
220,"Cocoa Mass, Sugar, Cocoa Butter, Soy Lecithin. Cocoa Solids 56% Min","cocoa mass, sugar, cocoa butter, soy lecithin, cocoa solid 56% min",- cocoa solids 56% min → cocoa solid 56% min (singular)
221,Organic White Quinoa,organic white quinoa,
222,"Water, Coconut Milk (Coconut Milk, Cornstarch, Guar Gum, Xanthan. Gum. Carrageenan), Anaheim Pepper Puree, Tamari Soy Sauce (Water, Soybeans, Wheat, Salt), Cilantro, Serrano Pepper Puree, Cane Sugar, Ginger Puree, Lime Juice Concentrate, Arrowroot Powder, Sea Salt, Organic Shredded Coconut, Garlic, Xanthan Gum, Dried Coriander, Dried Cumin, Dried Lemongrass, Shallots, White Pepper","water, coconut milk (coconut milk, corn starch, guar gum, xanthan, gum, carrageenan), anaheim pepper puree, tamari soy sauce (water, soybean, wheat, salt), cilantro, serrano pepper puree, cane sugar, ginger puree, lime juice concentrate, arrowroot powder, sea salt, organic shredded coconut, garlic, xanthan gum, dried coriander, dried cumin, dried lemongrass, shallot, white pepper","- cornstarch → corn starch (95%)
- soybeans → soybean (singular)
- shallots → shallot (singular)"
223,"Stone Ground Yellow Corn, Soy Grits, Brown Flaxseed, Corn Oil or Sunflower Oil, Sea Salt, Water, Trace of Lime","stone ground yellow corn, soy grit, brown flaxseed, corn oil or sunflower oil, sea salt, water, trace of lime",- soy grits → soy grit (singular)
224,"Bananas, Sulfur Dioxide (Added For Freshness)","banana, sulfur dioxide (added for freshness)",- bananas → banana (singular)
225,"Unbleached Wheat Flour, Sugar, Butter (Milk), Eggs, Salt, Ammonium Bicarbonate","unbleached wheat flour, sugar, butter (milk), egg, salt, ammonium bicarbonate",- eggs → egg (singular)
226,"Water, Whole Organic Soybeans","water, whole organic soybean",- whole organic soybeans → whole organic soybean (singular)
227,California Arbequina Olive Oil,california arbequina olive oil,
228,"Organic Soymilk (Filtered Water, Whole Organic Soybeans), Organic Evaporated Cane Juice, Tricalcium Phosphate, Organic Cocoa Powder, Organic Vanilla Flavor, Sea Salt, Carrageenan, Vitamin A Palmitate, Vitamin D2, Riboflavin (B2)","organic soy milk (filtered water, whole organic soybean), organic evaporated cane juice, tricalcium phosphate, organic cocoa powder, organic vanilla flavor, sea salt, carrageenan, vitamin a palmitate, vitamin d2, riboflavin (b2)","- organic soymilk → soy milk (93%)
- whole organic soybeans → whole organic soybean (singular)"
229,"Roasted & Salted Almonds (Almonds, Canola Oil, Salt), Roasted & Salted Cashews (Cashews, Canola Oil, Salt), Pineapple (Pineapple, Sugar), Cherries (Cherries, Sugar, Sunflower Oil), Cranberries (Cranberries, Sugar, Sunflower Oil)","roasted & salted almond (almond, canola oil, salt), roasted & salted cashew (cashew, canola oil, salt), pineapple (pineapple, sugar), cherry (cherry, sugar, sunflower oil), cranberry (cranberry, sugar, sunflower oil)","- roasted & salted almonds → roasted & salted almond (singular)
- almonds → almond (singular)
- roasted & salted cashews → roasted & salted cashew (singular)
- cashews → cashew (singular)
- cherries → cherry (singular)
- cherries → cherry (singular)
- cranberries → cranberry (singular)
- cranberries → cranberry (singular)"
230,"Sugar, Corn Syrup, Honey","sugar, corn syrup, honey",
231,"Enriched All Purpose Wheat Flour (Flour, Thiamine Mononitrate, Riboflavin, Niacin, Folic Acid, Iron [May Contain Amylase], Ascorbic Acid [Vitamin C {Dough Conditioner}], Water, Diced Potatoes, Carrots, Green Peas, Canola Oil, Lentils, Onions, Cilantro, Salt, Plain Nonfat Yogurt (Skim Milk Powder, Whey Protein, Modified Corn Starch, Carrageenan, Pectin, Active Bacterial Culture*, Garlic, Vinegar, Spices, Citric Acid","enriched all purpose wheat flour (flour, thiamine mononitrate, riboflavin, niacin, folic acid, iron (may contain amylase), ascorbic acid (vitamin c (dough conditioner)), water, diced potatoes, carrots, green peas, canola oil, lentils, onions, cilantro, salt, plain nonfat yogurt (skim milk powder, whey protein, modified corn starch, carrageenan, pectin, active bacterial culture, garlic, vinegar, spices, citric acid",UNBALANCED PARENTHESES
232,"Rice Noodles (Rice, Water), Seasoning Mix (Sugar, Garlic Powder, Salt, Mushroom Powder, Autolyzed Yeast Extract, Spring Onion Flake, Pepper), Dried Vegetable Packet (Freeze Dried Mushroom, Freeze Dried Corn, Freeze Dried Carrot), Oil Sachet (Rice Bran Oil, Garlic)","rice noodle (rice, water), seasoning mix (sugar, garlic powder, salt, mushroom powder, autolyzed yeast extract, spring onion flake, pepper), dried vegetable packet (freeze dried mushroom, freeze dried corn, freeze dried carrot), oil sachet (rice bran oil, garlic)",- rice noodles → rice noodle (singular)
233,"Pasteurized Skim Milk*, Nonfat Dry Milk*, Salt, Grade A Whey, Grade A Lactose, Titanium Dioxide (Color), Guar Gum, Carrageenan, Citric Acid, Locust Bean Gum, Lactic Acid, Phosphoric Acid, Natural Flavors, Cultured Grade A Skim Milk*, Vitamin D3, Vitamin A Palmitate, Enzymes","pasteurized skim milk, nonfat dry milk, salt, grade awhey, grade alactose, titanium dioxide (color), guar gum, carrageenan, citric acid, locust bean gum, lactic acid, phosphoric acid, natural flavor, cultured grade a skim milk, vitamin d3, vitamin a palmitate, enzyme","- natural flavors → natural flavor (singular)
- enzymes → enzyme (singular)"
234,"Carbonated Mineral Water, Natural Lemon Flavor","carbonated mineral water, natural lemon flavor",
235,"Chickpeas, Tomatoes, Onions, Water, Sunflower Oil, Ginger, Garlic, Coriander, Cumin, Salt, Black Pepper, Cinnamon, Cardamom, Clove, Green Chili, Red Chili Powder, Fennel Turmeric","chickpea, tomato, onion, water, sunflower oil, ginger, garlic, coriander, cumin, salt, black pepper, cinnamon, cardamom, clove, green chili, red chili powder, fennel turmeric","- chickpeas → chickpea (singular)
- tomatoes → tomato (singular)
- onions → onion (singular)"
236,"Sprouted Wheat Grains, Oats, Rye, Barley, Corn, Rice, Millet, Wheat Flour, Water, Honey, Vital Wheat Gluten, Yeast, Molasses, Salt","sprouted wheat grain, oat, rye, barley, corn, rice, millet, wheat flour, water, honey, vital wheat gluten, yeast, molasses, salt","- sprouted wheat grains → sprouted wheat grain (singular)
- oats → oat (singular)"
237,Organic Evaporated Cane Juice,organic evaporated cane juice,
238,"Grade A Pasteurized Milk, Cream, Nonfat Milk, Fruit Juice Concentrates (Pineapple, Peach, Apple, Pear), Water, Apricots, Mangoes, Tapioca Starch, Pectin, Natural Flavor, Citric Acid, Live and Active Cultures: S. Thermophilus, L. Bulgaricus, L. Acidophilus, Cultured After Pasteurization","grade apasteurized milk, cream, nonfat milk, fruit juice concentrate (pineapple, peach, apple, pear), water, apricot, mango, tapioca starch, pectin, natural flavor, citric acid, live and active cultures: s. thermophilus, l bulgaricus, l acidophilus, cultured after pasteurization","- fruit juice concentrates → fruit juice concentrate (singular)
- apricots → apricot (singular)
- mangoes → mango (singular)
- l. bulgaricus → l bulgaricus (96%)
- l. acidophilus → l acidophilus (96%)"
239,"Long Grain Brown Rice, Grape Seed Oil","long grain brown rice, grape seed oil",
240,"Carbonated Water, Caramel Color, Aspartame, Phosphoric Acid, Natural and Artificial Flavors, Sodium Benzoate (Preservative), Caffeine,","carbonated water, caramel color, aspartame, phosphoric acid, natural and artificial flavor, sodium benzoate (preservative), caffeine",- natural and artificial flavors → natural and artificial flavor (singular)
241,Extra Virgin Olive Oil,extra virgin olive oil,
242,"Soy Sauce (Water, Wheat, Soybeans, Slat), Sugar, Garlic Puree (Garlic, Water, Citric Acid), Sesame Seeds, Soybean Oil, Ginger Puree, White Vinegar, Soy Powder (Soybean, Salt, Wheat, Maltodextrin), Oil, Garlic, Onions, Onion Powder, Ginger Powder","soy sauce (water, wheat, soybean, salt), sugar, garlic puree (garlic, water, citric acid), sesame seed, soybean oil, ginger puree, white vinegar, soy powder (soybean, salt, wheat, maltodextrin), oil, garlic, onion, onion powder, ginger powder","- soybeans → soybean (singular)
- slat → salt (75%)
- sesame seeds → sesame seed (singular)
- onions → onion (singular)"
